"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"cottonem";0;0;0;0;0;0;1;0;0
"cottonowie";0;0;0;0;0;0;1;0;0
"cottonów";0;0;0;0;0;0;1;0;0
"córka";0;0;0;1;0;0;1;0;0
"cóż";0;0;0;0;0;0;0;0;2
"cracovii";0;0;1;0;0;0;0;0;0
"cristiano";0;0;0;0;0;2;0;0;0
"cska";0;0;0;0;0;1;0;0;0
"cuchnąć";1;0;0;0;0;0;0;0;0
"cud";0;0;2;0;0;0;0;0;0
"cudotwórca";0;0;0;1;0;0;0;0;0
"cudowność";1;0;0;0;0;0;0;0;0
"cudowny";1;0;0;0;0;0;0;2;0
"cum";0;0;1;0;0;0;0;0;0
"cykl";0;0;1;0;0;0;0;0;0
"cyrankiewicz";0;0;1;0;0;0;0;0;0
"cytadela";0;0;0;1;0;0;0;0;0
"cytata";0;0;0;0;0;0;0;1;0
"czańca";0;0;1;0;0;0;0;0;0
"czapce";0;0;0;0;0;0;0;1;0
"czapki";0;1;0;0;0;0;0;0;0
"czar";2;0;0;0;0;0;0;0;1
"czarna";0;0;0;0;0;0;0;1;1
"czarny";0;0;0;0;0;0;1;1;5
"czarodziej";0;14;0;0;0;0;0;6;0
"czary";0;0;0;0;0;0;0;0;2
"czas";10;5;8;12;3;3;3;9;1
"czase";1;0;0;0;0;0;0;0;0
"czasem";0;3;0;1;0;2;0;0;0
"czasopisma";0;0;0;2;1;0;0;0;0
"czasów";0;0;1;1;2;1;0;2;0
"czasy";0;0;0;0;1;0;0;2;0
"czcigodny";0;0;1;0;0;0;0;0;0
"czechów";0;0;0;0;1;0;0;0;0
"czego";1;2;0;0;1;0;1;0;1
"czekać";2;0;0;1;0;0;3;0;1
"czekał";1;0;0;0;0;0;0;0;1
"czekała";0;1;0;0;0;0;0;0;1
"czele";0;1;0;2;0;0;0;0;2
"czemu";0;0;0;0;0;1;1;0;0
"czernieć";0;0;0;0;0;0;0;0;1
"czerwiec";0;0;5;1;0;5;0;1;0
"czerwone";0;1;0;0;0;0;0;0;0
"czerwony";0;0;1;0;0;0;0;6;1
"cześć";0;0;2;0;0;0;0;0;0
"częstochowski";0;0;1;0;0;0;0;0;0
